Metal,Cluster,Method,Energy_1(meV/atom),Energy_2(meV/atom),Energy_3(meV/atom),Energy_4(meV/atom)
Cu,6,B3LYP-D4,2016.4428400000004,2004.6709483333336,1989.0105183333335,1824.8132150000004
Cu,8,PBE,1959.2377137499998,2118.65221875,1987.3424337499998,2139.54672875
Cu,8,PBE-D2,1991.03155875,2160.0175412500002,2013.9940425000002,2186.9404037500003
Cu,8,PBE-DDSC,1994.36812,2169.02213375,2024.933495,2192.23664875
Cu,8,PBE-D30,1990.0048437499997,2149.6176562500004,2017.460115,2171.46084
Cu,8,PBE-D3,2025.3732337499998,2202.9813724999995,2056.8291999999997,2226.64426875
Cu,8,PBE-TS,1987.3996049999998,2147.7382987499996,2019.1100737499999,2168.323985
Cu,8,PBE-TSHI,1986.2925612500003,2145.3078875,2018.4899549999998,2165.2316775
Cu,8,PBE-D4,2031.8375250000004,2211.5254050000003,2063.69820375,2235.50723875
Cu,8,PBE-MBDHI,2036.1157312500002,2221.938545,2071.6907312499998,2246.81685375
Cu,8,PBE-MBDFI,2034.8294937500002,2221.9542462500003,2070.260285,2247.36141625
Cu,8,revPBE,1741.5852249999998,1871.0479362499998,1761.40459125,1888.1416912500001
Cu,8,REVPBE-D30,1801.1424324999998,1943.6375462500002,1821.0472475000001,1966.4311862499999
Cu,8,revPBE-D3,1879.17427,2048.8089237500003,1906.4734637500003,2072.1277075
Cu,8,revPBE-D4,1879.0947262500001,2052.829325,1907.3842637499997,2076.9536762499997
Cu,8,PBEsol,2175.02158375,2386.8885025,2217.41924125,2413.84019875
Cu,8,PBEsol-D3,2216.36332625,2433.5734475,2259.44435375,2461.1269062499996
Cu,8,PBEsol-D4,2202.0187300000002,2417.2727800000002,2244.8528312500002,2444.6058337500003
Cu,8,vdW-DF,1694.4557187499997,1791.6876237499998,1701.7170624999999,1805.7025199999998
Cu,8,vdW-DF2,1766.1702850000004,1821.9248662500004,1761.7063550000003,1831.6026087500002
Cu,8,optB86b-vdW,1983.7062075,2163.426055,2013.4109387499998,2186.6274325
Cu,8,rev-vdW-DF2,1949.5264475000004,2115.3758900000003,1975.7829775000002,2136.8831725
Cu,8,TPSS,1952.5789787499991,2155.56549125,1990.2270600000004,2180.55264875
Cu,8,R2SCAN,2061.522945,2262.4911712499998,2099.767397499999,2288.7663825000004
Cu,8,R2SCAN-D3,2081.6319862499995,2285.257765,2120.238006249999,2311.8455849999996
Cu,8,R2SCAN-D4,2077.1258537499994,2279.984390000001,2115.6211599999997,2306.476085
Cu,8,R2SCAN-RVV10,2102.466617500001,2315.881730000001,2143.387548750001,2343.687602500001
Cu,8,SCAN-rVV10,2089.433677499999,2293.8823399999997,2126.3018987499986,2320.7407774999992
Cu,8,PBE0,1658.0792250000002,1805.5322162500001,1678.58307875,1824.6263962500002
Cu,8,PBE0-D30,1691.4565275000002,1842.0632275000003,1712.1439624999998,1863.1077475
Cu,8,PBE0-D3,1726.4590062500001,1891.0340625,1750.0098000000003,1912.6558962500003
