Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Au,B3LYP,1040.9546799999562,32.059820000084116,406.98325999991124,-36.65273999991214,-113.55249999996309,154.03835000004574,-26.961580000044894,-25.995380000063406
Au,B3LYP-D2,2047.5851300001314,778.4842400001386,1193.1656999999975,1219.5443299999774,1209.4131799999807,1741.366129999992,1351.2955800000386,1367.3031100000571
Au,B3LYP-D2-Ne,2047.5851300001314,778.4842400001386,1193.1656999999975,1219.5443299999774,1209.4131799999807,1741.366129999992,1351.2955800000386,1367.3031100000571
Au,B3LYP-D30,2126.8363399999052,908.7591499998302,1408.8723900000266,1459.8746200000305,1504.3078999998424,2050.1109999999503,1636.4015199998464,1627.8727400000182
Au,B3LYP-D3,1926.428769999983,707.541250000002,1253.2136299999377,1078.4040899999102,1001.0776799998937,1458.77956999986,1221.572239999844,1190.4402199998847
Au,B3LYP-D4,1988.3219499999436,733.7068399998943,1316.1093399999634,1084.8954799998905,1012.0851999998641,1536.3168100000119,1295.7581899997929,1237.9385299998953
Au,HF,403.4679832087894,-295.3389980292619,-183.5875699691183,-571.7194425425291,-646.3189689150688,-609.3387743395624,-804.4688761827055,-637.4878304346404
Au,MP2,1942.4872803636545,251.55316559103133,942.613851755026,565.0700388481142,481.5924940651939,1056.525415164529,747.7169052669088,702.9521576529052
Au,CCSD,1449.9797932472557,96.1269471011671,633.5340334971457,230.13259297628332,142.52658488000466,545.5105983916847,288.4399606773112,305.6094439884808
Au,CCSD(T),1695.354415652835,229.18365119693087,870.8084370990128,431.2744140522763,355.0307107890437,879.5039751064131,587.8701353239635,587.2207382248384
Ag,PBE,697.5027400000009,175.99974999991596,404.63011999993404,174.47445000001815,155.0322500000001,465.1636600000715,240.498889999877,338.1533499999812
Ag,PBE-D2,1190.749170000115,478.9733200000157,762.5337500000784,688.018140000048,714.9662900000027,1147.235660000005,920.8932000000511,1013.8919500000032
Ag,PBE-D2-Ne,945.8012899999608,351.8214599998757,607.0766600000512,460.36951000007195,457.97658000003196,818.6641499999307,606.3643799999734,710.9704399999704
Ag,PBE-DDSC,982.0379600000257,415.57028000013395,682.6742500000962,539.7697099999567,535.8178500001043,888.8255000001077,653.4362899999628,747.0242300000831
Ag,PBE-D30,1278.8070800001012,624.233339999948,928.8180900000018,902.5798500001323,938.380760000098,1404.0997800000762,1098.3513999999718,1198.6431399999287
Ag,PBE-D3,1123.2690300000131,510.24905000009113,813.4736400001073,689.1116699999907,680.0090800000676,1084.8523699999691,821.3065300001414,930.8800900000214
Ag,PBE-TS,1155.535179999994,647.385199999936,917.4642800000039,905.179450000003,847.9923899998836,1164.323600000067,954.7675799999951,1065.6668000000532
Ag,PBE-TSHI,933.4226199997975,332.99316999998797,621.2332999999668,401.550149999959,404.9290099998997,787.9625099998519,544.0741699998579,644.0820699999987
Ag,PBE-D4,1017.2953499999413,425.4754899999527,711.212669999969,558.6106699999829,546.4670700000513,933.824790000072,677.4904900001584,784.9243800000321
Ag,PBE-MBDHI,933.2978600000823,348.57602000003186,624.7965700000125,432.65330999997695,420.4416500001189,796.0928899999686,540.5451599999628,647.2045899999852
Ag,PBE-MBDFI,1053.9761500000316,474.2637300001156,755.1067199999335,685.3780400000709,675.3257099999938,1082.7445100000662,821.3677100001129,927.3506600000392
Ag,revPBE,429.0915199998575,14.517729999859563,165.37692000000726,-70.60973000000637,-100.64317999998806,104.04349999981699,-71.73544000010091,13.797759999939263
Ag,REVPBE-D30,1419.8459299998992,701.3882299998544,995.9222999998849,1072.2267899999517,1181.4738699998313,1736.3504199999916,1392.177649999927,1475.3052799998018
Ag,revPBE-D3,1225.1463100000185,632.6507999999791,931.9627000000717,901.7093000000335,892.4985900001103,1291.9950900000408,1037.1256700000572,1147.9424900000588
Ag,revPBE-D4,978.7219099999401,434.4739899998844,698.0796699999235,579.2991399999065,566.9948899999215,933.7178099999663,694.5557600000609,801.3212299999291
Ag,PBEsol,970.6277899998987,282.38136999994265,613.7746199998903,350.9529100000921,345.19768000008577,806.6881899999952,502.0457900000688,622.0425399999039
Ag,PBEsol-D3,1397.0541399998933,627.9425900000555,1021.8470500000359,857.0460199999745,859.4230499999278,1388.780049999922,1055.9843199998404,1183.760129999857
Ag,PBEsol-D4,1180.4602700001349,451.44612000019225,814.6297700001619,598.3017300001596,597.2106100002175,1094.6551300001054,775.387520000113,899.374150000043
Ag,vdW-DF,664.703910000032,276.36896999998584,429.6358600000385,305.8442200000515,275.4756600000281,453.6976800000332,308.60420999998706,373.58839999993967
Ag,vdW-DF2,670.4288700000141,299.227589999941,456.48324999995094,329.3995199999666,300.67045000002855,462.4115799999382,336.2979399999948,389.184060000026
Ag,optB86b-vdW,1026.0853200000176,412.2429099999696,707.5781399999696,539.0503299999949,527.6433399999335,920.1123100000057,662.3629399999774,761.5181100000017
Ag,rev-vdW-DF2,923.5825499999675,334.1892499999317,611.7135799999791,423.3390899999225,409.840969999971,776.9194899999694,530.9683399999772,626.3040799999656
Ag,R2SCAN,956.2163599998926,312.7063099998537,617.6599300000163,393.56393999998573,383.973399999995,803.2076599998561,516.9293199998676,629.7519599999007
Ag,R2SCAN-D3,1184.504750000002,500.3909799998709,836.876219999958,662.2805599998856,656.8261599998664,1110.0153899998588,809.6931199999631,926.4104399998985
Ag,R2SCAN-D4,1096.1010700000386,426.8975600000786,752.001299999975,557.4550800000609,550.8004900001566,992.6573400000293,697.235790000164,812.5695500000063
Ag,R2SCAN-RVV10,1139.2475299997998,454.0672099998275,791.6245199998216,605.3640299999686,601.2518299999031,1061.7077999998444,758.7731099999289,875.1535799998322
Ag,SCAN-rVV10,1164.8835500000985,443.52016000006955,798.3387200000038,587.4798000000042,580.679339999982,1064.994949999992,746.5296900000099,866.0707400000973
Ag,PBE0,615.3021700002092,77.54384000009429,296.2372100001796,57.30581000019619,31.775240000126548,349.8608400000189,92.94433000018509,211.2779900001325
Ag,PBE0-D30,1275.487999999978,565.1856700001119,871.2497900000265,848.6057499999378,903.6270099999477,1421.4443799999476,1055.1178100001132,1172.6580500001064
Ag,PBE0-D3,1079.0729199998545,443.81369000005355,741.8591399999679,621.0367099998977,605.5232699999214,1021.3725299998883,724.5450300000389,855.3527800000124
Ag,PBE0-D4,925.6653300000374,321.0230200001174,593.4807000000242,431.4133300000584,412.3774500000645,800.4525400000468,514.8715899999994,641.9935100000789
Ag,PBE0-TSHI,806.0933299998508,242.04504999997224,517.1810999998372,289.29130000002436,285.5275899998988,669.9764699999813,393.1328899999529,513.2279900000092
Ag,HSE06,609.0177000001131,79.32597000010676,292.90381000003316,55.83033999999954,30.246980000007362,341.57791000004556,88.5305499999256,205.79754000010954
Ag,HSE06-D4,912.9840399999614,317.9261599999288,583.9714399999826,422.09433999997435,402.9140499999886,782.0656400000274,501.25893999992854,626.9888200000051
Ag,B3LYP,426.16076999992146,-13.751119999964256,144.5941700000546,-124.6647800000753,-157.98271999999568,46.737189999921384,-144.48413000006744,-56.06616000003983
Ag,B3LYP-D2,1116.807220000045,410.5509600000752,645.7680300000393,594.4453400000707,625.9449799999772,1001.8150700000658,808.1742699999745,890.0518999999778
Ag,B3LYP-D2-Ne,1116.807220000045,410.5509600000752,645.7680300000393,594.4453400000707,625.9449799999772,1001.8150700000658,808.1742699999745,890.0518999999778
Ag,B3LYP-D30,1467.5697699999462,741.8384299999019,1036.4060900000002,1125.182829999841,1238.09670999982,1791.4985299998193,1404.1724099999283,1488.6763299998765
Ag,B3LYP-D3,1200.698400000037,581.3172199999914,887.2221199999708,814.9192899998425,805.0521999998282,1206.743059999896,934.1283099998554,1046.9315899998853
Ag,B3LYP-D4,1188.9834599998328,557.2839099999558,876.3169399998465,770.0625499997913,761.9169599998603,1197.1122699999182,921.1868699999615,1035.042169999902
Ag,HF,21.80196541987881,-228.23441497789048,-211.59033185237354,-512.1523958438672,-553.251387976628,-508.61498880040335,-672.5046481991715,-555.9820733278688
Ag,MP2,946.0506634722161,221.47276854729375,546.2701535121997,354.2207852857411,338.53688648790944,763.3750678828044,470.78676055827464,607.9109978163533
Ag,CCSD,686.7144925014904,80.09924581711499,363.63785463224497,115.75992661676682,87.23576904426201,386.6231743154718,169.96138202770118,275.45906012058845
Ag,CCSD(T),902.6280878306084,235.61206963171426,550.9334834410084,289.5192851572259,292.2947430500295,676.0667406386862,413.4250566329996,546.6129834267031
Cu,PBE,1262.6590199999655,165.2160300000256,570.1789699999131,196.433179999973,179.87431999998992,711.38263999989,299.32821000008755,447.13620999999335
Cu,PBE-D2,1640.2207900001615,388.52090000002494,832.5514800000433,575.8800800000099,605.2052000000523,1228.8765300001296,808.471100000126,933.0360600001808
Cu,PBE-D2-Ne,1473.5740499999013,295.097729999974,715.007680000022,407.2748299998548,406.945369999955,983.5900099998662,574.0635899999158,722.330970000034
Cu,PBE-DDSC,1552.6430499999653,393.7094199999489,851.8272800000628,535.0500900000594,538.0652899999565,1124.0944000001289,693.1067600001018,836.542819999992
Cu,PBE-D30,4365.563960000145,460.2194400001207,935.0392399999819,628.7693100001266,614.5840000000353,1198.2403900000072,755.4083800000635,916.572209999984
Cu,PBE-D3,1684.5327200000431,458.664629999991,966.047259999991,633.2543200001442,631.0316499999966,1283.4342200001468,810.5111799999802,973.8883099999902
Cu,PBE-TS,1769.1525199999614,605.3077500000699,1106.3595199999293,841.9570899999118,787.0537899998977,1390.4083299999165,949.6089600000772,1131.1205299999365
Cu,PBE-TSHI,1523.7371199999732,316.89910999982465,786.1964999998778,407.25954999995383,419.7981299998781,1021.383979999976,593.9307599999033,736.1888799999621
Cu,PBE-D4,1560.714410000148,371.9360600000572,852.0660800001574,508.89067000002575,503.0402299999905,1127.1872700000777,667.7739400000613,827.6226500001269
Cu,PBE-MBDHI,1522.3659800000466,329.9315300000591,808.8682100000261,432.6554500000781,426.7533500000327,1055.4727400000781,590.6239700001437,748.1707300000085
